Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
82,2409234,20241200000000.0,20/12/24,city scrape,10565373,11/12/13,within an hour,100%,98%,t,19,t,t,Borgo Panigale - Reno,44.5147,11.28499,Entire vacation home,Entire home/apt,6,1.5,1.5 baths,2.0,5.0,"[""TV"", ""Smoke alarm"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Iron"", ""Children\u2019s dinnerware"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Babysitter recommendations"", ""Keypad"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Window guards"", ""Exterior security cameras on property"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Heating"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Room-darkening shades"", ""Cooking basics"", ""High chair"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Kitchen""]",$126.00,1,1125,26,41,41,41,97,0,0,07/04/14,29/10/23,4.7,4.81,4.89,4.9,4.86,4.46,4.66,IT037006B4QCSUMSZL,t,19,19,0,0,0.74
84,2427429,20241200000000.0,20/12/24,city scrape,10565373,11/12/13,within an hour,100%,98%,t,19,t,t,Borgo Panigale - Reno,44.51453,11.28531,Entire vacation home,Entire home/apt,4,1.0,1 bath,0.0,4.0,"[""TV"", ""Smoke alarm"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Iron"", ""Hangers"", ""Keypad"", ""Exterior security cameras on property"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Heating"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Fire extinguisher"", ""Cooking basics"", ""High chair"", ""Kitchen""]",$204.00,1,1125,0,0,0,0,59,1,0,27/03/14,25/02/24,4.76,4.93,4.88,4.96,4.97,4.55,4.78,IT037006B4QCSUMSZL,t,19,19,0,0,0.45
85,2427567,20241200000000.0,20/12/24,city scrape,10565373,11/12/13,within an hour,100%,98%,t,19,t,t,Borgo Panigale - Reno,44.51452,11.28516,Entire vacation home,Entire home/apt,4,1.0,1 bath,0.0,4.0,"[""TV"", ""Smoke alarm"", ""Microwave"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Iron"", ""Children\u2019s dinnerware"", ""Stove"", ""Backyard"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Babysitter recommendations"", ""Keypad"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Window guards"", ""Exterior security cameras on property"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Heating"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Dishwasher"", ""Room-darkening shades"", ""Cooking basics"", ""High chair"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Kitchen""]",$180.00,1,1125,6,6,6,6,71,1,0,24/03/14,25/09/24,4.79,4.87,4.92,4.89,4.92,4.42,4.77,IT037006B4QCSUMSZL,t,19,19,0,0,0.54
86,2448735,20241200000000.0,20/12/24,city scrape,10565373,11/12/13,within an hour,100%,98%,t,19,t,t,Borgo Panigale - Reno,44.51457,11.28426,Entire vacation home,Entire home/apt,4,1.0,1 bath,1.0,3.0,"[""TV"", ""Smoke alarm"", ""Microwave"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Iron"", ""Children\u2019s dinnerware"", ""Stove"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Keypad"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Window guards"", ""Private patio or balcony"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Heating"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Room-darkening shades"", ""Cooking basics"", ""High chair"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Kitchen""]",$107.00,1,1125,7,7,7,7,69,0,0,01/10/14,25/10/22,4.64,4.7,4.81,4.88,4.97,4.28,4.62,IT037006B4QCSUMSZL,t,19,19,0,0,0.55
112,3573615,20241200000000.0,20/12/24,city scrape,11580855,23/01/14,a few days or more,0%,31%,f,3,t,t,Santo Stefano,44.49045,11.35647,Private room in home,Private room,1,1.0,1 shared bath,1.0,0.0,"[""Shampoo"", ""Lock on bedroom door"", ""Dishes and silverware"", ""TV"", ""Breakfast"", ""Essentials"", ""Washer"", ""Refrigerator"", ""Host greets you"", ""Heating"", ""Wifi"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Kitchen""]",$39.00,31,365,29,59,61,320,10,2,0,07/09/14,31/01/24,4.7,4.9,4.0,5.0,4.9,4.9,4.4,,f,3,1,2,0,0.08
113,3573660,20241200000000.0,20/12/24,city scrape,11580855,23/01/14,a few days or more,0%,31%,f,3,t,t,Santo Stefano,44.48976,11.35412,Private room in rental unit,Private room,1,2.0,2 baths,1.0,1.0,"[""Shampoo"", ""Lock on bedroom door"", ""TV"", ""Hangers"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Refrigerator"", ""Heating"", ""Bikes"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Iron"", ""Kitchen""]",$35.00,31,1125,30,60,71,334,19,3,0,18/07/14,14/07/24,4.32,4.17,3.61,4.37,4.56,4.72,3.89,,f,3,1,2,0,0.15
133,4254158,20241200000000.0,20/12/24,previous scrape,17806592,08/07/14,,,,f,3,t,f,Santo Stefano,44.44594,11.31958,Private room in farm stay,Private room,4,,1 private bath,1.0,,"[""TV"", ""Bidet"", ""Microwave"", ""Books and reading material"", ""Bikes"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Shared backyard \u2013 Not fully fenced"", ""Hangers"", ""Hot water kettle"", ""Casa Flu\u00f2 conditioner"", ""Shower gel"", ""Refrigerator"", ""Hammock"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Pets allowed"", ""Breakfast"", ""Exterior security cameras on property"", ""Mosquito net"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Host greets you"", ""Heating"", ""Hot water"", ""Sound system with aux"", ""Shampoo"", ""Room-darkening shades"", ""Fire extinguisher"", ""Bathtub"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Private hot tub"", ""Coffee"", ""Luggage dropoff allowed"", ""Kitchen""]",,1,1125,29,59,87,359,1,0,0,30/05/23,30/05/23,4.0,5.0,5.0,5.0,5.0,4.0,3.0,,t,3,0,3,0,0.05
134,4254214,20241200000000.0,20/12/24,city scrape,17806592,08/07/14,,,,f,3,t,f,Santo Stefano,44.44503,11.32054,Private room in farm stay,Private room,2,1.0,1 bath,1.0,1.0,"[""TV"", ""Bidet"", ""Microwave"", ""Books and reading material"", ""Bikes"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Shared backyard \u2013 Not fully fenced"", ""Private sauna"", ""Hot water kettle"", ""Shower gel"", ""Refrigerator"", ""Hammock"", ""Valley view"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Pets allowed"", ""Breakfast"", ""Exterior security cameras on property"", ""Mosquito net"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Conditioner"", ""Heating"", ""Hot water"", ""Sound system with aux"", ""Shampoo"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee"", ""Kitchen""]",$184.00,1,1125,23,53,81,354,4,0,0,12/11/16,25/02/23,5.0,5.0,5.0,4.5,4.25,4.5,5.0,,t,3,0,3,0,0.04
135,4254270,20241200000000.0,20/12/24,city scrape,17806592,08/07/14,,,,f,3,t,f,Santo Stefano,44.44385,11.31882,Private room in farm stay,Private room,3,1.0,1 bath,1.0,2.0,"[""Lock on bedroom door"", ""Bidet"", ""Laundromat nearby"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Shared backyard \u2013 Not fully fenced"", ""Private sauna"", ""Hot water kettle"", ""Shower gel"", ""Refrigerator"", ""Hammock"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Pets allowed"", ""Breakfast"", ""Exterior security cameras on property"", ""Mosquito net"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Conditioner"", ""Heating"", ""Patio or balcony"", ""Host greets you"", ""Hot water"", ""Sound system with aux"", ""Shampoo"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee""]",$184.00,1,1125,27,57,85,357,0,0,0,,,,,,,,,,,t,3,0,3,0,
137,4275165,20241200000000.0,20/12/24,city scrape,10565373,11/12/13,within an hour,100%,98%,t,19,t,t,Borgo Panigale - Reno,44.51474,11.28477,Entire vacation home,Entire home/apt,4,1.0,1 bath,1.0,4.0,"[""TV"", ""Smoke alarm"", ""Microwave"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Bed linens"", ""Iron"", ""EV charger"", ""Children\u2019s dinnerware"", ""Stove"", ""Backyard"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Keypad"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Private entrance"", ""Exterior security cameras on property"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Heating"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Dishwasher"", ""Room-darkening shades"", ""Cooking basics"", ""High chair"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Kitchen""]",$126.00,1,1125,9,9,9,9,72,2,0,02/02/15,17/08/24,4.64,4.77,4.83,4.91,4.92,4.35,4.65,IT037006B4QCSUMSZL,t,19,19,0,0,0.6
