Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
767,23323065,20241220045231,2024-12-20,city scrape,545703364,2023-11-09,,,,f,1,t,t,Santo Stefano,44.48667,11.36163,Entire rental unit,Entire home/apt,3,2.0,2 baths,2.0,2.0,"[""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Cleaning available during stay"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Iron"", ""Children\u2019s dinnerware"", ""EV charger - level 2"", ""Stove"", ""Hangers"", ""Carbon monoxide alarm"", ""Elevator"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Changing table"", ""Mosquito net"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Crib"", ""Patio or balcony"", ""Heating"", ""Host greets you"", ""Cleaning products"", ""Hot water"", ""Free residential garage on premises \u2013 1 space"", ""Shampoo"", ""First aid kit"", ""Dishwasher"", ""Room-darkening shades"", ""Fire extinguisher"", ""Cooking basics"", ""High chair"", ""Bathtub"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Coffee"", ""Baby bath"", ""Kitchen""]",$124.00,4,30,7,7,7,7,15,0,0,2018-03-29,2023-11-26,5.0,5.0,5.0,5.0,4.87,4.8,4.87,IT037006C2ZRCEMZWR,f,1,1,0,0,0.18
985,29646036,20241220045231,2024-12-20,city scrape,599761432,2024-09-03,,,,f,2,t,t,Navile,44.51345,11.35699,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Shampoo"", ""Dishes and silverware"", ""Pets allowed"", ""TV"", ""Hangers"", ""Carbon monoxide alarm"", ""Elevator"", ""Essentials"", ""Washer"", ""Air conditioning"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Hair dryer"", ""Hot water"", ""Kitchen""]",$170.00,1,1125,12,42,72,93,3,0,0,2018-11-12,2019-04-04,5.0,5.0,4.67,5.0,5.0,5.0,4.33,IT037006C2PADXDPLJ,f,1,1,0,0,0.04
1467,40854166,20241220045231,2024-12-20,previous scrape,402179238,2021-05-18,,,,f,126,t,t,Navile,44.52529,11.37215,Entire rental unit,Entire home/apt,4,,1 bath,1.0,,"[""Shampoo"", ""TV"", ""Dryer"", ""Private entrance"", ""Fire extinguisher"", ""Essentials"", ""Free parking on premises"", ""Washer"", ""Air conditioning"", ""Pool"", ""Gym"", ""Heating"", ""Wifi"", ""Hair dryer""]",,4,30,0,0,0,0,3,0,0,2020-07-10,2021-08-18,4.33,4.67,4.33,5.0,4.33,4.0,5.0,IT037006B1XE47FOCB,t,3,3,0,0,0.06
1477,41237296,20241220045231,2024-12-20,city scrape,323693833,2020-01-02,a few days or more,0%,,f,1,t,f,Porto - Saragozza,44.49925,11.33986,Entire serviced apartment,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Shampoo"", ""TV"", ""Hangers"", ""Private entrance"", ""Hot tub"", ""Fire extinguisher"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Indoor fireplace"", ""Heating"", ""Wifi"", ""Hair dryer"", ""Hot water"", ""Iron"", ""Kitchen""]","$2,000.00",1,1125,30,60,90,365,0,0,0,,,,,,,,,,,t,1,1,0,0,
1478,41250176,20241220045231,2024-12-20,city scrape,323869929,2020-01-03,within an hour,100%,100%,t,1,t,t,Santo Stefano,44.49943,11.35014,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,3.0,"[""Induction stove"", ""24 inch HDTV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Ethernet connection"", ""Coffee maker: Nespresso"", ""Courtyard view"", ""Backyard"", ""Hangers"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Crib - always at the listing"", ""AC - split type ductless system"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Private entrance"", ""Breakfast"", ""Free washer \u2013 In unit"", ""Garden view"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Conditioner"", ""Heating"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Clothing storage: closet"", ""First aid kit"", ""Paid parking garage off premises"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Coffee"", ""Kitchen""]",$140.00,2,7,22,52,81,153,99,30,0,2020-10-04,2024-11-10,4.9,4.92,4.89,4.78,4.8,4.93,4.8,,f,1,1,0,0,1.93
1479,41360275,20241220045231,2024-12-20,city scrape,325160732,2020-01-07,within an hour,100%,100%,f,1,t,t,Porto - Saragozza,44.49711,11.33006,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Dishes and silverware"", ""TV"", ""Hangers"", ""Essentials"", ""Washer"", ""Air conditioning"", ""Refrigerator"", ""Heating"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Kitchen""]",$103.00,3,180,29,59,89,201,115,26,1,2020-01-20,2024-11-24,4.73,4.77,4.64,4.92,4.84,4.89,4.69,IT037006C2VJRQS5TD,f,1,1,0,0,1.92
1484,41400026,20241220045231,2024-12-20,previous scrape,325615439,2020-01-08,within an hour,100%,100%,t,1,t,t,Porto - Saragozza,44.50025,11.32187,Private room in bed and breakfast,Private room,2,,1 private bath,1.0,,"[""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Heating - split type ductless system"", ""Sun loungers"", ""Microwave"", ""Free driveway parking on premises \u2013 1 space"", ""Cleaning available during stay"", ""Books and reading material"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Ethernet connection"", ""Hangers"", ""Hot water kettle"", ""Elevator"", ""Central heating"", ""Outdoor dining area"", ""AC - split type ductless system"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Window guards"", ""Pets allowed"", ""Drying rack for clothing"", ""Private entrance"", ""Breakfast"", ""Free washer \u2013 In unit"", ""Garden view"", ""Private patio or balcony"", ""Mosquito net"", ""Essentials"", ""HDTV"", ""Freezer"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Private backyard \u2013 Fully fenced"", ""Private living room"", ""Shampoo"", ""First aid kit"", ""Other gas stove"", ""Self check-in"", ""Room-darkening shades"", ""Fire extinguisher"", ""Cooking basics"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Coffee"", ""Luggage dropoff allowed"", ""Smart lock"", ""Kitchen""]",,1,30,0,0,0,0,196,70,1,2020-01-18,2024-11-24,4.9,4.92,4.95,4.9,4.96,4.69,4.79,IT037006C1646ZZF3W,f,1,0,1,0,3.27
1491,41527142,20241220045231,2024-12-20,previous scrape,499978112,2023-02-07,,,,f,1,t,t,Santo Stefano,44.48711,11.34323,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""TV"", ""Wine glasses"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Stove"", ""Hangers"", ""Hot water kettle"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Coffee maker: espresso machine, Nespresso"", ""Essentials"", ""Freezer"", ""Conditioner"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Clothing storage: closet"", ""Coffee"", ""First aid kit"", ""Cooking basics"", ""Extra pillows and blankets"", ""Portable fans"", ""Kitchen""]",,2,30,0,0,0,0,154,46,2,2020-03-09,2024-12-01,4.71,4.75,4.73,4.85,4.88,4.76,4.58,,f,1,1,0,0,2.64
1492,41542567,20241220045231,2024-12-20,city scrape,327258630,2020-01-14,within an hour,96%,100%,f,36,t,t,Porto - Saragozza,44.49841,11.33898,Entire vacation home,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Induction stove"", ""Wine glasses"", ""Bidet"", ""Smoke alarm"", ""Microwave"", ""TV with standard cable"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Bed linens"", ""Central air conditioning"", ""Ethernet connection"", ""Coffee maker: Nespresso"", ""Hangers"", ""Free washer \u2013 In building"", ""Refrigerator"", ""Safe"", ""Dishes and silverware"", ""Pets allowed"", ""Exterior security cameras on property"", ""Private patio or balcony"", ""Essentials"", ""Heating"", ""City skyline view"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Paid parking garage off premises"", ""Fire extinguisher"", ""Cooking basics"", ""Crib - available upon request"", ""Long term stays allowed"", ""Free dryer \u2013 In building"", ""Smart lock"", ""Kitchen""]",$93.00,1,350,22,51,81,261,54,4,0,2020-06-25,2024-11-07,4.81,4.83,4.85,4.98,4.93,4.93,4.7,IT037006B4M2QAOBSM,t,36,34,2,0,0.99
1495,41551146,20241220045231,2024-12-20,city scrape,327258630,2020-01-14,within an hour,96%,100%,f,36,t,t,Porto - Saragozza,44.49846,11.34037,Entire vacation home,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Induction stove"", ""Bidet"", ""Smoke alarm"", ""Microwave"", ""TV with standard cable"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Iron"", ""Central air conditioning"", ""Ethernet connection"", ""Hangers"", ""Free washer \u2013 In building"", ""Central heating"", ""Elevator"", ""Shower gel"", ""Refrigerator"", ""Indoor fireplace"", ""Safe"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Private entrance"", ""Exterior security cameras on property"", ""Essentials"", ""Freezer"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Paid parking garage off premises"", ""Fire extinguisher"", ""Cooking basics"", ""Crib - available upon request"", ""Long term stays allowed"", ""Free dryer \u2013 In building"", ""Smart lock"", ""Kitchen""]",$77.00,1,1000,20,47,77,257,162,11,0,2020-02-17,2024-10-06,4.8,4.78,4.85,4.89,4.83,4.92,4.67,IT037006B4M2QAOBSM,t,36,34,2,0,2.75
