Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,46352,20241220045231,2024-12-20,city scrape,467810,2011-03-28,within a day,75%,47%,f,2,t,t,Porto - Saragozza,44.49163,11.33398,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Dining table"", ""Bidet"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Bed linens"", ""Hangers"", ""Hot water kettle"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Smoking allowed"", ""Pets allowed"", ""Exercise equipment: yoga mat"", ""Essentials"", ""Freezer"", ""Paid parking on premises"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Clothing storage: closet"", ""Extra pillows and blankets"", ""Coffee"", ""Luggage dropoff allowed""]",$43.00,2,730,21,38,68,68,451,48,3,2010-09-27,2024-12-01,4.73,4.75,4.6,4.83,4.85,4.84,4.68,,f,2,0,2,0,2.6
200,6711715,20241220045231,2024-12-20,city scrape,33796853,2015-05-20,within an hour,100%,100%,t,7,t,t,Porto - Saragozza,44.49846,11.33643,Private room in condo,Private room,2,1.0,1 private bath,1.0,2.0,"[""Lock on bedroom door"", ""Bidet"", ""Paid parking lot on premises"", ""Laundromat nearby"", ""Microwave"", ""Clothing storage: wardrobe"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Coffee maker: Nespresso"", ""Hot water kettle"", ""AC - split type ductless system"", ""Refrigerator"", ""Safe"", ""Body soap"", ""Dishes and silverware"", ""Exterior security cameras on property"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Room-darkening shades"", ""Smeg oven"", ""Dedicated workspace"", ""Coffee"", ""32 inch TV"", ""Kitchen""]",$97.00,1,30,1,1,1,1,42,6,1,2015-07-04,2024-11-22,4.93,4.93,4.98,4.9,4.93,4.88,4.86,IT037006B4EUJXZSMQ,t,7,1,6,0,0.36
400,14147831,20241220045231,2024-12-20,city scrape,41535572,2015-08-15,within a few hours,100%,36%,f,6,t,t,Santo Stefano,44.48441,11.371,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Smoking allowed"", ""Stove"", ""Cooking basics"", ""Free parking on premises"", ""Free street parking"", ""Refrigerator"", ""Hot water"", ""Oven""]",$75.00,1,1125,30,42,42,250,5,0,0,2018-04-01,2019-02-13,4.2,4.6,4.2,4.4,4.6,4.4,4.2,,f,5,0,5,0,0.06
600,19938355,20241220045231,2024-12-20,city scrape,141287136,2017-07-19,within an hour,100%,100%,f,3,t,t,Santo Stefano,44.49457,11.34765,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Dining table"", ""Bidet"", ""Smoke alarm"", ""Microwave"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""32 inch HDTV"", ""Courtyard view"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Central heating"", ""Elevator"", ""AC - split type ductless system"", ""Shower gel"", ""Refrigerator"", ""Fast wifi \u2013 510 Mbps"", ""Body soap"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Essentials"", ""Coffee maker: espresso machine"", ""Host greets you"", ""Cleaning products"", ""Hot water"", ""Clothing storage: closet"", ""Self check-in"", ""Paid parking garage off premises"", ""Room-darkening shades"", ""Fire extinguisher"", ""Cooking basics"", ""Stainless steel induction stove"", ""Smart lock"", ""Kitchen""]",$55.00,1,28,8,23,41,42,443,77,4,2017-08-01,2024-12-03,4.73,4.85,4.81,4.61,4.77,4.97,4.68,IT037006B4CG79FRLQ,t,3,3,0,0,4.92
800,23724192,20241220045231,2024-12-20,city scrape,177830867,2018-03-11,a few days or more,0%,15%,f,1,t,t,Porto - Saragozza,44.49649,11.33178,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,3.0,"[""TV"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Iron"", ""Children\u2019s dinnerware"", ""Stove"", ""Elevator"", ""Refrigerator"", ""Dishes and silverware"", ""Smoking allowed"", ""Private entrance"", ""Private patio or balcony"", ""Essentials"", ""Paid parking on premises"", ""Air conditioning"", ""Host greets you"", ""Heating"", ""First aid kit"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Dedicated workspace"", ""Paid washer \u2013 In unit""]",$116.00,1,10,27,57,87,87,11,1,0,2023-03-07,2024-03-21,4.82,4.73,4.55,4.82,4.91,4.73,4.27,,f,1,1,0,0,0.5
1000,29918464,20241220045231,2024-12-20,city scrape,97298944,2016-09-29,within an hour,100%,100%,t,19,t,t,Santo Stefano,44.49475,11.34644,Entire serviced apartment,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Microwave"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Central air conditioning"", ""Iron"", ""Stove"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Central heating"", ""Keypad"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Dryer"", ""Private entrance"", ""Exterior security cameras on property"", ""Essentials"", ""Hot water"", ""HDTV with Netflix"", ""Shampoo"", ""Self check-in"", ""Dishwasher"", ""Fire extinguisher"", ""Cooking basics"", ""High chair"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Kitchen""]",$222.00,2,1124,25,55,82,128,14,1,0,2022-03-28,2024-04-28,4.64,4.79,4.93,5.0,4.93,5.0,4.69,IT037006B4FYIK7IVN,t,19,19,0,0,0.42
1200,33684432,20241220045231,2024-12-20,city scrape,253895068,2019-04-07,,,100%,t,1,t,t,Porto - Saragozza,44.48854,11.33712,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,4.0,"[""TV"", ""Dining table"", ""Bidet"", ""Paid parking lot on premises"", ""Microwave"", ""Bagnoschiuma, sapone per igiene intima, sapone liquido, sapone solido(saponetta mani) body soap"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Central air conditioning"", ""Coffee maker: Nespresso"", ""Courtyard view"", ""Stove"", ""Hangers"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Babysitter recommendations"", ""Outdoor dining area"", ""Shower gel"", ""Refrigerator"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Private entrance"", ""Breakfast"", ""Free washer \u2013 In unit"", ""Pocket wifi"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Crib"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Private backyard \u2013 Fully fenced"", ""Clothing storage: closet"", ""Coffee"", ""First aid kit"", ""Rice maker"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""Bio per capelli lisci, per capelli ricci, per lavaggi frequenti  shampoo"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Shampoo e balsamo bio conditioner"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",$95.00,2,28,8,22,29,165,53,4,0,2019-05-12,2024-09-17,4.96,4.94,5.0,4.94,4.96,4.91,4.87,IT037006C20WDWEPI,f,1,1,0,0,0.78
1400,39419982,20241220045231,2024-12-20,city scrape,49812442,2015-11-24,within an hour,83%,94%,t,64,t,t,Santo Stefano,44.48741,11.35305,Entire vacation home,Entire home/apt,16,12.0,12 baths,12.0,20.0,"[""Washer"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Elevator"", ""Keypad"", ""Indoor fireplace"", ""Pets allowed"", ""Dryer"", ""Private entrance"", ""Exterior security cameras on property"", ""Essentials"", ""Air conditioning"", ""Crib"", ""Heating"", ""Hot water"", ""Shared hot tub"", ""Shampoo"", ""First aid kit"", ""Self check-in"", ""Fire extinguisher"", ""Cooking basics"", ""40 inch HDTV with Amazon Prime Video, Disney+, Netflix, Roku"", ""Kitchen""]",$864.00,1,1125,24,54,84,353,5,2,1,2022-07-29,2024-11-20,5.0,4.6,4.8,4.8,4.8,5.0,4.6,IT037006B4ULHH9LN2,f,31,31,0,0,0.17
1600,43006426,20241220045231,2024-12-20,city scrape,327258630,2020-01-14,within an hour,96%,100%,f,36,t,t,Porto - Saragozza,44.49839,11.339,Entire vacation home,Entire home/apt,5,2.0,2 baths,2.0,3.0,"[""Induction stove"", ""TV"", ""Smoke alarm"", ""Microwave"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Iron"", ""Central air conditioning"", ""Ethernet connection"", ""Paid parking off premises"", ""Backyard"", ""Hangers"", ""Free washer \u2013 In building"", ""Pack \u2019n play/Travel crib"", ""Central heating"", ""Shower gel"", ""Refrigerator"", ""Safe"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Private entrance"", ""Exterior security cameras on property"", ""Essentials"", ""Freezer"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Dishwasher"", ""Fire extinguisher"", ""Cooking basics"", ""Crib - available upon request"", ""Long term stays allowed"", ""Free dryer \u2013 In building"", ""Smart lock"", ""Kitchen""]",$122.00,2,1125,4,22,48,228,4,0,0,2020-06-24,2022-09-15,5.0,5.0,5.0,4.75,4.75,5.0,4.75,IT037006B4M2QAOBSM,t,36,34,2,0,0.07
1800,49194226,20241220045231,2024-12-20,city scrape,396808690,2021-04-13,within an hour,100%,100%,f,1,t,t,Porto - Saragozza,44.49984,11.318773,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""TV"", ""Dining table"", ""Bidet"", ""Smoke alarm"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Gas stove"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Keypad"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Heating"", ""City skyline view"", ""Hot water"", ""Clothing storage: closet"", ""Self check-in"", ""Cooking basics"", ""Extra pillows and blankets"", ""Toaster"", ""Kitchen""]",$95.00,3,30,1,28,55,131,34,7,0,2021-05-17,2024-11-12,4.85,4.88,4.91,4.94,4.94,4.68,4.71,IT037006C2WG8HGEE5,f,1,1,0,0,0.78
2000,53150409,20241220045231,2024-12-20,city scrape,429941552,2021-11-01,within a few hours,100%,77%,t,4,t,t,Borgo Panigale - Reno,44.51027,11.28829,Private room in guest suite,Private room,4,1.0,1 private bath,1.0,2.0,"[""Lock on bedroom door"", ""TV"", ""Dining table"", ""Bidet"", ""Clothing storage"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Coffee maker: Nespresso"", ""Stove"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Shower gel"", ""Refrigerator"", ""Free street parking"", ""Body soap"", ""Dishes and silverware"", ""Private entrance"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Crib"", ""Heating"", ""Hot water"", ""Private backyard \u2013 Fully fenced"", ""Shampoo"", ""Self check-in"", ""Fire extinguisher"", ""Cooking basics"", ""Lockbox"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Kitchen""]",$115.00,1,365,21,50,76,320,39,7,0,2021-11-12,2024-11-01,4.79,4.77,4.82,4.9,4.9,4.64,4.69,It037006b4alzpzx9c,f,4,1,3,0,1.03
2200,620845813078646997,20241220045231,2024-12-20,city scrape,16654191,2014-06-11,within a day,100%,100%,f,1,t,t,Porto - Saragozza,44.4918,11.34012,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Smoke alarm"", ""Books and reading material"", ""Hair dryer"", ""Bed linens"", ""Coffee maker: Nespresso"", ""Gas stove"", ""Hangers"", ""Fast wifi \u2013 527 Mbps"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Central heating"", ""Elevator"", ""Outdoor dining area"", ""AC - split type ductless system"", ""Refrigerator"", ""Body soap"", ""Clothing storage: walk-in closet"", ""Dishes and silverware"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Garden view"", ""Private patio or balcony"", ""32 inch HDTV with DVD player"", ""Essentials"", ""Indoor fireplace: wood-burning"", ""Freezer"", ""Stainless steel oven"", ""Host greets you"", ""Cleaning products"", ""Hot water"", ""Private backyard \u2013 Fully fenced"", ""First aid kit"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Cooking basics"", ""Bathtub"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Kitchen""]",$139.00,1,90,8,25,55,162,10,2,0,2022-08-12,2024-08-17,5.0,4.9,4.9,4.9,5.0,5.0,4.9,,t,1,1,0,0,0.35
2400,714996527126310485,20241220045231,2024-12-20,city scrape,62892072,2016-03-14,within an hour,100%,100%,t,1,t,t,Santo Stefano,44.47685,11.36843,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Heating - split type ductless system"", ""Microwave"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Hangers"", ""Hot water kettle"", ""Central heating"", ""AC - split type ductless system"", ""Shower gel"", ""Candy stove"", ""Body soap"", ""Dishes and silverware"", ""Private entrance"", ""Essentials"", ""Freezer"", ""Coffee maker: espresso machine"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Clothing storage: closet"", ""Haier refrigerator"", ""Self check-in"", ""Room-darkening shades"", ""43 inch HDTV"", ""Cooking basics"", ""Lockbox"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Coffee"", ""Toaster"", ""Kitchen""]",$66.00,1,7,18,48,78,78,161,67,0,2022-09-15,2024-10-25,4.94,4.93,4.93,4.93,4.92,4.8,4.85,IT037006C2RR5H9BCE,t,1,1,0,0,5.83
2600,795464425320545764,20241220045231,2024-12-20,city scrape,384914323,2021-01-17,within an hour,100%,100%,f,2,t,t,San Donato - San Vitale,44.4931566,11.3633509,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""24 inch TV"", ""Free washer"", ""AC - split type ductless system"", ""Free parking on premises"", ""Dedicated workspace"", ""Kitchen""]",$56.00,2,30,7,7,18,18,7,6,0,2023-01-09,2024-11-10,4.0,4.57,4.71,4.57,4.71,4.29,4.0,it037006c2tlsmjseb,t,2,2,0,0,0.29
2800,836731108015925263,20241220045231,2024-12-20,city scrape,496346832,2023-01-16,within an hour,100%,100%,t,3,t,t,Savena,44.4796096,11.3853957,Entire vacation home,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""TV"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Heating - split type ductless system"", ""Microwave"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Gas stove"", ""Hangers"", ""Central heating"", ""AC - split type ductless system"", ""Free street parking"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Essentials"", ""Cleaning products"", ""Hot water"", ""Coffee maker: pour-over coffee"", ""Shampoo"", ""Self check-in"", ""Room-darkening shades"", ""Cooking basics"", ""Lockbox"", ""Extra pillows and blankets"", ""Coffee"", ""Kitchen""]",$93.00,3,12,29,59,89,170,37,24,0,2023-05-02,2024-11-08,4.97,4.97,5.0,5.0,5.0,4.95,4.86,IT037006B48G5GIVS5,f,3,3,0,0,1.85
3000,874536639591142090,20241220045231,2024-12-20,city scrape,434554899,2021-12-03,within an hour,100%,100%,t,1,t,t,Porto - Saragozza,44.4960308,11.3366027,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Stainless steel single oven"", ""Microwave"", ""Cleaning available during stay"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Hangers"", ""Hot water kettle"", ""Paid dryer \u2013 In unit"", ""Elevator"", ""Paid parking lot off premises"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Washer \u2013\u00a0In unit"", ""Essentials"", ""Freezer"", ""Coffee maker: espresso machine"", ""Air conditioning"", ""Heating"", ""Electric stove"", ""City skyline view"", ""Cleaning products"", ""Building staff"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""Self check-in"", ""Dishwasher"", ""Baking sheet"", ""Cooking basics"", ""Dedicated workspace"", ""Long term stays allowed"", ""Coffee"", ""Kitchen""]",$115.00,2,29,29,59,70,298,30,9,1,2023-05-14,2024-11-25,4.9,4.97,4.9,4.67,4.97,4.97,4.73,IT037006C244GWIHJS,t,1,1,0,0,1.53
3200,937566389214030222,20241220045231,2024-12-20,city scrape,30833874,2015-04-08,within a day,70%,61%,f,3,t,t,Savena,44.48831,11.38253,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""First aid kit"", ""TV"", ""Paid parking on premises"", ""Washer"", ""Air conditioning"", ""Dedicated workspace"", ""Wifi"", ""Kitchen""]",$100.00,1,365,0,29,59,239,2,2,0,2024-03-24,2024-05-21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,2,2,0,0,0.22
3400,989661267545925854,20241220045231,2024-12-20,city scrape,12182373,2014-02-12,within an hour,100%,100%,f,62,t,t,Santo Stefano,44.4976899,11.3506301,Entire rental unit,Entire home/apt,10,3.0,3 baths,5.0,5.0,"[""TV"", ""Dining table"", ""Bidet"", ""Microwave"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Gas stove"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Essentials"", ""Air conditioning"", ""Host greets you"", ""Heating"", ""City skyline view"", ""Hot water"", ""Clothing storage: closet"", ""Crib - available upon request"", ""High chair"", ""Bathtub"", ""Kitchen""]",$164.00,1,365,12,27,40,291,55,49,1,2023-10-26,2024-11-21,4.64,4.65,4.82,4.67,4.67,4.84,4.69,,t,58,50,8,0,3.91
