Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,46352,20241220045231,2024-12-20,city scrape,467810,2011-03-28,within a day,75%,47%,f,2,t,t,Porto - Saragozza,44.49163,11.33398,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Dining table"", ""Bidet"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Bed linens"", ""Hangers"", ""Hot water kettle"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Smoking allowed"", ""Pets allowed"", ""Exercise equipment: yoga mat"", ""Essentials"", ""Freezer"", ""Paid parking on premises"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Clothing storage: closet"", ""Extra pillows and blankets"", ""Coffee"", ""Luggage dropoff allowed""]",$43.00,2,730,21,38,68,68,451,48,3,2010-09-27,2024-12-01,4.73,4.75,4.6,4.83,4.85,4.84,4.68,,f,2,0,2,0,2.6
1,59697,20241220045231,2024-12-20,city scrape,286688,2010-11-14,within a day,50%,50%,f,2,t,t,Santo Stefano,44.48817,11.34124,Private room in condo,Private room,1,1.0,1 shared bath,1.0,2.0,"[""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Stove"", ""Hangers"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Essentials"", ""Freezer"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Baking sheet"", ""Cooking basics"", ""Bathtub"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Coffee"", ""Kitchen""]",$50.00,31,1125,30,40,59,334,240,0,0,2012-12-03,2022-02-07,4.61,4.7,4.67,4.85,4.79,4.82,4.66,,f,2,0,2,0,1.64
3,219878,20241220045231,2024-12-20,city scrape,1139326,2011-09-10,within an hour,100%,95%,t,2,t,t,Santo Stefano,44.48787,11.35392,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Zoppas refrigerator"", ""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Fast wifi \u2013 83 Mbps"", ""Window AC unit"", ""Microwave"", ""Books and reading material"", ""Outlet covers"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Ethernet connection"", ""Portable air conditioning"", ""EV charger"", ""Hangers"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Central heating"", ""Carbon monoxide alarm"", ""Elevator"", ""Shower gel"", ""Body soap"", ""Clothing storage: walk-in closet"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Garden view"", ""Essentials"", ""Freezer"", ""Coffee maker: espresso machine"", ""Host greets you"", ""Crib"", ""Conditioner"", ""City skyline view"", ""Cleaning products"", ""Shared patio or balcony"", ""Hot water"", ""Shampoo"", ""Coffee"", ""Paid street parking off premises"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Fire extinguisher"", ""Whirlpool stainless steel oven"", ""Cooking basics"", ""Whirlpool gas stove"", ""Bathtub"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",$145.00,28,180,25,55,85,330,177,9,0,2011-10-21,2024-11-10,4.84,4.91,4.94,4.89,4.92,4.83,4.78,IT037006C2HQERHOGR,f,2,2,0,0,1.1
4,229114,20241220045231,2024-12-20,city scrape,1196205,2011-09-22,within an hour,100%,100%,t,1,t,t,Navile,44.51072,11.34957,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,4.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Ariston stainless steel gas stove"", ""Smoke alarm"", ""32 inch HDTV with standard cable"", ""Microwave"", ""Free driveway parking on premises \u2013 1 space"", ""Books and reading material"", ""Outlet covers"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Courtyard view"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""AC - split type ductless system"", ""Keypad"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Board games"", ""Fast wifi \u2013 624 Mbps"", ""Free washer \u2013 In unit"", ""Garden view"", ""Private patio or balcony"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Freezer"", ""Coffee maker: espresso machine"", ""Heating"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""Self check-in"", ""Dishwasher"", ""Room-darkening shades"", ""Cooking basics"", ""Crib - available upon request"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Coffee"", ""Toaster"", ""Kitchen""]",$132.00,3,60,21,51,81,339,86,13,0,2012-10-22,2024-11-03,4.84,4.91,4.92,4.95,4.95,4.51,4.74,IT037006C2KRRTWGRT,t,1,1,0,0,0.58
5,246747,20241220045231,2024-12-20,city scrape,1294101,2011-10-15,within an hour,100%,100%,f,1,t,t,Porto - Saragozza,44.49884,11.34315,Private room in bed and breakfast,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Lock on bedroom door"", ""Paid parking off premises"", ""TV"", ""Hangers"", ""Bidet"", ""Exercise equipment"", ""Elevator"", ""Essentials"", ""Host greets you"", ""Heating"", ""Extra pillows and blankets"", ""Books and reading material"", ""Hair dryer"", ""Portable fans"", ""Wifi"", ""Hot water"", ""Iron""]",$100.00,2,15,0,0,0,174,48,3,0,2012-09-27,2024-04-14,4.7,4.75,4.96,4.88,4.92,4.94,4.69,,f,1,0,1,0,0.32
6,266777,20241220045231,2024-12-20,city scrape,1398894,2011-11-12,a few days or more,0%,0%,f,1,t,t,Porto - Saragozza,44.49544,11.33114,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""TV"", ""Microwave"", ""Washer"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Iron"", ""Paid parking off premises"", ""Courtyard view"", ""Stove"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Babysitter recommendations"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Essentials"", ""Air conditioning"", ""Crib"", ""Host greets you"", ""Heating"", ""Hot water"", ""Private backyard \u2013 Fully fenced"", ""Shampoo"", ""Dishwasher"", ""Cooking basics"", ""High chair"", ""Long term stays allowed"", ""Kitchen""]",$85.00,180,730,3,13,43,184,51,0,0,2012-03-07,2020-03-01,4.86,4.8,4.76,4.86,4.96,4.8,4.67,,f,1,1,0,0,0.33
7,374610,20241220045231,2024-12-20,city scrape,1884566,2012-03-08,within an hour,100%,99%,f,4,t,t,Santo Stefano,44.48921,11.35713,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Microwave"", ""Bikes"", ""Single level home"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Ikea refrigerator"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Babysitter recommendations"", ""Coffee maker"", ""Dishes and silverware"", ""Window guards"", ""Pets allowed"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Garden view"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Freezer"", ""Heating"", ""Hot water"", ""Clothing storage: closet"", ""Paid street parking off premises"", ""Self check-in"", ""Room-darkening shades"", ""Generico shampoo"", ""Long term stays allowed"", ""Ikea stainless steel gas stove"", ""Cooking basics"", ""Lockbox"", ""26 inch HDTV"", ""Extra pillows and blankets"", ""Generico body soap"", ""Dedicated workspace"", ""Portable fans"", ""Fast wifi \u2013 703 Mbps"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",$55.00,2,90,21,48,78,113,115,1,0,2013-03-10,2024-02-12,4.35,4.57,4.29,4.8,4.79,4.8,4.34,IT037006C2PTCUBVDK,t,4,4,0,0,0.8
8,383256,20241220045231,2024-12-20,city scrape,1884566,2012-03-08,within an hour,100%,99%,f,4,t,t,Porto - Saragozza,44.49984,11.34307,Entire loft,Entire home/apt,5,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""32 inch HDTV with Chromecast"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Courtyard view"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Hot water kettle"", ""Central heating"", ""Babysitter recommendations"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Window guards"", ""Pets allowed"", ""Drying rack for clothing"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Hot water"", ""Clothing storage: closet"", ""First aid kit"", ""Paid parking garage off premises"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Self check-in"", ""Fire extinguisher"", ""Ikea stainless steel gas stove"", ""Cooking basics"", ""Lockbox"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Kitchen""]",$52.00,2,90,20,50,80,115,226,30,1,2012-04-06,2024-11-23,4.59,4.7,4.64,4.84,4.74,4.86,4.55,IT037006C2UYW8RN2A,t,4,4,0,0,1.46
9,411523,20241220045231,2024-12-20,city scrape,2048622,2012-04-01,within an hour,100%,97%,t,3,t,t,Santo Stefano,44.4931,11.35442,Entire rental unit,Entire home/apt,4,2.0,2 baths,1.0,3.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Microwave"", ""Books and reading material"", ""Ceiling fan"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Hangers"", ""HDTV with standard cable"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Changing table - always at the listing"", ""Shower gel"", ""Fast wifi \u2013 453 Mbps"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""Paid parking garage off premises"", ""Dishwasher"", ""Baking sheet"", ""Fire extinguisher"", ""Cooking basics"", ""Whirlpool gas stove"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",$174.00,2,28,27,57,86,280,139,8,0,2013-07-04,2024-10-12,4.88,4.92,4.95,4.95,4.98,4.9,4.9,IT037006C2VL6I3CIH,t,2,2,0,0,1.0
10,570880,20241220045231,2024-12-20,city scrape,123920,2010-05-13,within a few hours,100%,75%,f,4,t,t,Porto - Saragozza,44.49239,11.33567,Entire loft,Entire home/apt,6,2.0,2 baths,1.0,4.0,"[""Washer"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Iron"", ""Paid parking off premises"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Free street parking"", ""Refrigerator"", ""Coffee maker"", ""Smoking allowed"", ""Pets allowed"", ""Essentials"", ""HDTV"", ""Air conditioning"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Long term stays allowed"", ""Private hot tub"", ""Luggage dropoff allowed"", ""Kitchen""]",$250.00,2,60,8,25,55,301,65,0,0,2012-07-26,2022-07-03,4.73,4.51,4.65,4.63,4.79,4.71,4.59,IT037006C2ISK7PTSC,t,1,1,0,0,0.43
11,584370,20241220045231,2024-12-20,city scrape,2879369,2012-07-09,within an hour,100%,55%,f,4,t,t,Porto - Saragozza,44.49084,11.31162,Private room in bed and breakfast,Private room,1,1.0,1 private bath,1.0,0.0,"[""Shampoo"", ""Dishes and silverware"", ""Smoking allowed"", ""Hangers"", ""Breakfast"", ""Elevator"", ""Essentials"", ""Microwave"", ""Cooking basics"", ""Air conditioning"", ""Refrigerator"", ""Coffee maker"", ""Heating"", ""Patio or balcony"", ""Host greets you"", ""Wifi"", ""Hair dryer"", ""Iron""]",$83.00,1,30,1,31,61,121,25,4,0,2013-03-13,2024-09-25,4.96,4.92,4.92,4.96,5.0,4.72,4.8,IT037006C1AZJOO6IC,f,4,0,4,0,0.17
12,648513,20241220045231,2024-12-20,city scrape,95428,2010-03-18,within a day,82%,20%,f,2,t,t,Porto - Saragozza,44.4937,11.34051,Entire condo,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Cleaning available during stay"", ""Books and reading material"", ""Blender"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Central air conditioning"", ""EV charger"", ""Paid parking off premises"", ""Stove"", ""Hangers"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Washer \u2013\u00a0In unit"", ""Drying rack for clothing"", ""Pocket wifi"", ""Mosquito net"", ""Essentials"", ""Paid parking on premises"", ""Conditioner"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Clothing storage: closet"", ""First aid kit"", ""Self check-in"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""Lockbox"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Luggage dropoff allowed"", ""Kitchen""]",$79.00,31,730,1,1,1,33,13,2,0,2013-01-02,2024-10-08,4.83,4.85,4.85,4.92,5.0,5.0,4.92,,f,2,1,1,0,0.09
