Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5,246747,20241200000000.0,20/12/24,city scrape,1294101,15/10/11,within an hour,100.0,100%,f,1,t,t,Porto - Saragozza,44.49884,11.34315,Private room in bed and breakfast,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Lock on bedroom door"", ""Paid parking off premises"", ""TV"", ""Hangers"", ""Bidet"", ""Exercise equipment"", ""Elevator"", ""Essentials"", ""Host greets you"", ""Heating"", ""Extra pillows and blankets"", ""Books and reading material"", ""Hair dryer"", ""Portable fans"", ""Wifi"", ""Hot water"", ""Iron""]",$100.00,2,15,0,0,0,174,48,3,0,27/09/12,14/04/24,4.7,4.75,4.96,4.88,4.92,4.94,4.69,,f,1,0,1,0,0.32
7,374610,20241200000000.0,20/12/24,city scrape,1884566,08/03/12,within an hour,100.0,99%,f,4,t,t,Santo Stefano,44.48921,11.35713,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Microwave"", ""Bikes"", ""Single level home"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Ikea refrigerator"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Babysitter recommendations"", ""Coffee maker"", ""Dishes and silverware"", ""Window guards"", ""Pets allowed"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Garden view"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Freezer"", ""Heating"", ""Hot water"", ""Clothing storage: closet"", ""Paid street parking off premises"", ""Self check-in"", ""Room-darkening shades"", ""Generico shampoo"", ""Long term stays allowed"", ""Ikea stainless steel gas stove"", ""Cooking basics"", ""Lockbox"", ""26 inch HDTV"", ""Extra pillows and blankets"", ""Generico body soap"", ""Dedicated workspace"", ""Portable fans"", ""Fast wifi \u2013 703 Mbps"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",$55.00,2,90,21,48,78,113,115,1,0,10/03/13,12/02/24,4.35,4.57,4.29,4.8,4.79,4.8,4.34,IT037006C2PTCUBVDK,t,4,4,0,0,0.8
8,383256,20241200000000.0,20/12/24,city scrape,1884566,08/03/12,within an hour,100.0,99%,f,4,t,t,Porto - Saragozza,44.49984,11.34307,Entire loft,Entire home/apt,5,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""32 inch HDTV with Chromecast"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Courtyard view"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Hot water kettle"", ""Central heating"", ""Babysitter recommendations"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Window guards"", ""Pets allowed"", ""Drying rack for clothing"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Hot water"", ""Clothing storage: closet"", ""First aid kit"", ""Paid parking garage off premises"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Self check-in"", ""Fire extinguisher"", ""Ikea stainless steel gas stove"", ""Cooking basics"", ""Lockbox"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Kitchen""]",$52.00,2,90,20,50,80,115,226,30,1,06/04/12,23/11/24,4.59,4.7,4.64,4.84,4.74,4.86,4.55,IT037006C2UYW8RN2A,t,4,4,0,0,1.46
10,570880,20241200000000.0,20/12/24,city scrape,123920,13/05/10,within a few hours,100.0,75%,f,4,t,t,Porto - Saragozza,44.49239,11.33567,Entire loft,Entire home/apt,6,2.0,2 baths,1.0,4.0,"[""Washer"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Iron"", ""Paid parking off premises"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Free street parking"", ""Refrigerator"", ""Coffee maker"", ""Smoking allowed"", ""Pets allowed"", ""Essentials"", ""HDTV"", ""Air conditioning"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Long term stays allowed"", ""Private hot tub"", ""Luggage dropoff allowed"", ""Kitchen""]",$250.00,2,60,8,25,55,301,65,0,0,26/07/12,03/07/22,4.73,4.51,4.65,4.63,4.79,4.71,4.59,IT037006C2ISK7PTSC,t,1,1,0,0,0.43
11,584370,20241200000000.0,20/12/24,city scrape,2879369,09/07/12,within an hour,100.0,55%,f,4,t,t,Porto - Saragozza,44.49084,11.31162,Private room in bed and breakfast,Private room,1,1.0,1 private bath,1.0,0.0,"[""Shampoo"", ""Dishes and silverware"", ""Smoking allowed"", ""Hangers"", ""Breakfast"", ""Elevator"", ""Essentials"", ""Microwave"", ""Cooking basics"", ""Air conditioning"", ""Refrigerator"", ""Coffee maker"", ""Heating"", ""Patio or balcony"", ""Host greets you"", ""Wifi"", ""Hair dryer"", ""Iron""]",$83.00,1,30,1,31,61,121,25,4,0,13/03/13,25/09/24,4.96,4.92,4.92,4.96,5.0,4.72,4.8,IT037006C1AZJOO6IC,f,4,0,4,0,0.17
13,670725,20241200000000.0,20/12/24,city scrape,3398944,28/08/12,within an hour,100.0,25%,f,2,t,t,Savena,44.46969,11.37699,Private room in bed and breakfast,Private room,1,1.0,1 private bath,1.0,2.0,"[""TV"", ""Breakfast"", ""Elevator"", ""Heating"", ""Wifi""]",$95.00,1,365,30,60,90,365,6,0,0,10/03/13,20/05/23,5.0,4.83,5.0,4.83,5.0,4.5,4.5,IT037006C1NJHJEAKO,f,2,0,2,0,0.04
16,724304,20241200000000.0,20/12/24,city scrape,3026417,23/07/12,within a few hours,100.0,98%,f,4,t,t,Santo Stefano,44.49383,11.35173,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Stove"", ""Hangers"", ""Outdoor dining area"", ""AC - split type ductless system"", ""Refrigerator"", ""Body soap"", ""Clothing storage: walk-in closet"", ""Dishes and silverware"", ""Coffee maker"", ""Outdoor furniture"", ""Pets allowed"", ""Free washer \u2013 In unit"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Heating"", ""City skyline view"", ""Cleaning products"", ""Shared patio or balcony"", ""Hot water"", ""Shampoo"", ""Baking sheet"", ""Cooking basics"", ""Bathtub"", ""Long term stays allowed"", ""Coffee"", ""Kitchen""]",$110.00,3,730,22,27,57,213,75,3,0,05/02/13,04/11/24,4.48,4.54,4.47,4.47,4.45,4.87,4.37,IT037006C2M7CXWSAL,f,1,1,0,0,0.52
17,732525,20241200000000.0,20/12/24,city scrape,2879369,09/07/12,within an hour,100.0,55%,f,4,t,t,Porto - Saragozza,44.49228,11.31329,Private room in bed and breakfast,Private room,2,0.0,0 shared baths,1.0,1.0,"[""Lock on bedroom door"", ""TV"", ""Bidet"", ""Microwave"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Hangers"", ""Refrigerator"", ""Safe"", ""Breakfast"", ""Mosquito net"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Host greets you"", ""Heating"", ""Hot water"", ""Clothing storage: closet"", ""Room-darkening shades"", ""Bathtub"", ""Extra pillows and blankets"", ""Luggage dropoff allowed""]",$122.00,1,30,1,31,61,280,18,1,0,30/03/13,26/09/24,5.0,4.94,5.0,5.0,5.0,4.56,4.94,IT037006C1AZJOO6IC,f,4,0,4,0,0.13
24,860436,20241200000000.0,20/12/24,previous scrape,4506590,27/12/12,within an hour,100.0,100%,f,2,t,t,Navile,44.50986099243164,11.349018096923828,Private room in bed and breakfast,Private room,3,,1 private bath,,,"[""Lock on bedroom door"", ""TV"", ""Smoke alarm"", ""Microwave"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Portable air conditioning"", ""Paid parking off premises"", ""Stove"", ""Hangers"", ""Central heating"", ""Refrigerator"", ""Coffee maker"", ""Breakfast"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Host greets you"", ""Hot water"", ""Shampoo"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Luggage dropoff allowed""]",,1,1125,26,56,85,168,46,1,0,10/05/13,09/04/24,4.58,4.68,4.8,4.89,4.8,4.6,4.35,IT037006B48EBY34UV,t,2,0,2,0,0.33
25,884148,20241200000000.0,20/12/24,city scrape,4664996,11/01/13,within an hour,100.0,85%,f,5,t,t,Santo Stefano,44.49756,11.34428,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,3.0,"[""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Ski-in/Ski-out"", ""Smoke alarm"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Stove"", ""Hangers"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Shower gel"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Crib"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Paid parking garage off premises"", ""Fire extinguisher"", ""Cooking basics"", ""Extra pillows and blankets"", ""Coffee"", ""Toaster"", ""Kitchen""]",$63.00,1,7,17,45,72,313,715,6,0,04/03/13,15/09/24,4.79,4.87,4.87,4.9,4.83,4.88,4.77,IT037006B4784CFSIV,f,5,5,0,0,4.98
