Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2,85368,20241200000000.0,20/12/24,city scrape,467675,28/03/11,within an hour,86.0,73%,t,1,t,t,Santo Stefano,44.47888,11.35625,Entire rental unit,Entire home/apt,5,2.0,2 baths,2.0,5.0,"[""Shampoo"", ""Hangers"", ""Essentials"", ""Kitchen"", ""Washer"", ""Host greets you"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Hair dryer"", ""Hot water"", ""Bed linens"", ""Iron""]",$120.00,2,30,10,15,15,233,62,6,0,21/03/12,10/11/24,4.91,4.92,4.84,4.98,4.98,4.8,4.82,IT037006C2QKQSH3S7,f,1,1,0,0,0.4
9,411523,20241200000000.0,20/12/24,city scrape,2048622,01/04/12,within an hour,100.0,97%,t,3,t,t,Santo Stefano,44.4931,11.35442,Entire rental unit,Entire home/apt,4,2.0,2 baths,1.0,3.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Microwave"", ""Books and reading material"", ""Ceiling fan"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Hangers"", ""HDTV with standard cable"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Changing table - always at the listing"", ""Shower gel"", ""Fast wifi \u2013 453 Mbps"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""Paid parking garage off premises"", ""Dishwasher"", ""Baking sheet"", ""Fire extinguisher"", ""Cooking basics"", ""Whirlpool gas stove"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",$174.00,2,28,27,57,86,280,139,8,0,04/07/13,12/10/24,4.88,4.92,4.95,4.95,4.98,4.9,4.9,IT037006C2VL6I3CIH,t,2,2,0,0,1.0
10,570880,20241200000000.0,20/12/24,city scrape,123920,13/05/10,within a few hours,100.0,75%,f,4,t,t,Porto - Saragozza,44.49239,11.33567,Entire loft,Entire home/apt,6,2.0,2 baths,1.0,4.0,"[""Washer"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Iron"", ""Paid parking off premises"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Free street parking"", ""Refrigerator"", ""Coffee maker"", ""Smoking allowed"", ""Pets allowed"", ""Essentials"", ""HDTV"", ""Air conditioning"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Long term stays allowed"", ""Private hot tub"", ""Luggage dropoff allowed"", ""Kitchen""]",$250.00,2,60,8,25,55,301,65,0,0,26/07/12,03/07/22,4.73,4.51,4.65,4.63,4.79,4.71,4.59,IT037006C2ISK7PTSC,t,1,1,0,0,0.43
18,742415,20241200000000.0,20/12/24,city scrape,3858191,13/10/12,within a few hours,100.0,100%,t,2,t,t,San Donato - San Vitale,44.50522,11.36354,Entire vacation home,Entire home/apt,9,2.0,2 baths,3.0,9.0,"[""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Smoke alarm"", ""32 inch HDTV with standard cable"", ""Cleaning available during stay"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Central heating"", ""Elevator"", ""AC - split type ductless system"", ""Free street parking"", ""Refrigerator"", ""Safe"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Paid parking garage on premises \u2013 1 space"", ""Free washer \u2013 In unit"", ""Garden view"", ""Exterior security cameras on property"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Free parking on premises"", ""Host greets you"", ""Theme room"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Paid street parking off premises"", ""Rice maker"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""Mini fridge"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Samsung stainless steel induction stove"", ""Luggage dropoff allowed"", ""Kitchen""]",$280.00,2,179,28,58,79,231,46,5,1,07/04/14,25/11/24,4.67,4.78,4.83,4.87,4.85,4.48,4.59,IT037006C2HV3EKFPU,t,2,2,0,0,0.35
33,1002365,20241200000000.0,20/12/24,city scrape,5512231,18/03/13,within an hour,100.0,50%,f,2,t,t,Borgo Panigale - Reno,44.54373,11.24921,Entire rental unit,Entire home/apt,7,2.0,2 baths,2.0,6.0,"[""TV"", ""Dining table"", ""Bidet"", ""Microwave"", ""Washer"", ""Wifi \u2013 37 Mbps"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Backyard"", ""Hangers"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Barbecue utensils"", ""Outdoor dining area"", ""Keypad"", ""Hammock"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Outdoor furniture"", ""Smoking allowed"", ""Pets allowed"", ""Private entrance"", ""Garden view"", ""Mosquito net"", ""Essentials"", ""Freezer"", ""Coffee maker: espresso machine"", ""Air conditioning"", ""Patio or balcony"", ""Free parking on premises"", ""Heating"", ""Cleaning products"", ""BBQ grill"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Baking sheet"", ""Cooking basics"", ""High chair"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Coffee"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",$110.00,3,365,30,60,90,357,35,3,0,14/05/13,04/11/24,4.77,4.71,4.83,4.74,4.91,4.63,4.6,IT037006C1ZV7AL3BX,f,2,2,0,0,0.25
41,1149912,20241200000000.0,20/12/24,city scrape,6129693,28/04/13,within a few hours,100.0,3%,f,1,t,t,Borgo Panigale - Reno,44.51927,11.27655,Private room in rental unit,Private room,3,1.5,1.5 shared baths,1.0,0.0,"[""Lock on bedroom door"", ""Bidet"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Hangers"", ""Central heating"", ""Body soap"", ""Dishes and silverware"", ""Smoking allowed"", ""Drying rack for clothing"", ""Breakfast"", ""Essentials"", ""Free parking on premises"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Clothing storage: closet"", ""Room-darkening shades"", ""Cooking basics"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Kitchen""]",$30.00,2,1125,2,2,15,290,166,0,0,26/05/13,03/10/23,4.32,4.32,4.29,4.6,4.78,4.27,4.27,,f,1,0,1,0,1.18
72,2273362,20241200000000.0,20/12/24,city scrape,11606565,24/01/14,within a few hours,100.0,100%,f,1,t,t,Santo Stefano,44.496986,11.349187,Entire rental unit,Entire home/apt,5,2.0,2 baths,1.0,3.0,"[""Sono a disposizione degli ospiti pi\u00f9 marche di balsami e shampoo conditioner"", ""Sound system"", ""Wine glasses"", ""Dining table"", ""Sono a disposizione degli ospiti numerose marche di shampoo shampoo"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Solo brand biologici body soap"", ""Microwave"", ""Books and reading material"", ""Ceiling fan"", ""Wifi"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Bed linens"", ""Iron"", ""Paid valet parking on premises \u2013 5 spaces"", ""Stainless steel gas stove"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""AC - split type ductless system"", ""Shower gel"", ""43 inch HDTV with Netflix"", ""Ferrari oven"", ""Radiant heating"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker, espresso machine, pour-over coffee"", ""Drying rack for clothing"", ""Board games"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Mosquito net"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Cleaning products"", ""Hot water"", ""Coffee"", ""First aid kit"", ""Dishwasher"", ""Room-darkening shades"", ""Rex refrigerator"", ""Baking sheet"", ""Fire extinguisher"", ""Cooking basics"", ""Bathtub"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Toaster"", ""Kitchen""]",$204.00,28,90,2,2,21,254,25,3,0,05/10/14,05/10/24,4.92,4.88,4.96,4.96,4.96,4.84,4.92,,f,1,1,0,0,0.2
82,2409234,20241200000000.0,20/12/24,city scrape,10565373,11/12/13,within an hour,100.0,98%,t,19,t,t,Borgo Panigale - Reno,44.5147,11.28499,Entire vacation home,Entire home/apt,6,1.5,1.5 baths,2.0,5.0,"[""TV"", ""Smoke alarm"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Iron"", ""Children\u2019s dinnerware"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Babysitter recommendations"", ""Keypad"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Window guards"", ""Exterior security cameras on property"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Heating"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Room-darkening shades"", ""Cooking basics"", ""High chair"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Kitchen""]",$126.00,1,1125,26,41,41,41,97,0,0,07/04/14,29/10/23,4.7,4.81,4.89,4.9,4.86,4.46,4.66,IT037006B4QCSUMSZL,t,19,19,0,0,0.74
83,2423689,20241200000000.0,20/12/24,city scrape,3858191,13/10/12,within a few hours,100.0,100%,t,2,t,t,San Donato - San Vitale,44.50521469116211,11.363539695739746,Entire vacation home,Entire home/apt,6,2.0,2 baths,2.0,6.0,"[""Bosch stainless steel induction stove"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Dining table"", ""Laundromat nearby"", ""Stainless steel single oven"", ""Smoke alarm"", ""Window AC unit"", ""Microwave"", ""32 inch HDTV with Amazon Prime Video, Apple TV, Netflix, standard cable, DVD player"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Central heating"", ""Free street parking"", ""Refrigerator"", ""Safe"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Paid parking garage on premises \u2013 1 space"", ""Free washer \u2013 In unit"", ""Exterior security cameras on property"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Free parking on premises"", ""Host greets you"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Paid street parking off premises"", ""Rice maker"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""Mini fridge"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Kitchen""]",$232.00,2,179,30,60,88,271,18,1,0,28/09/14,06/07/24,4.94,4.89,5.0,4.94,5.0,4.72,4.78,IT037006C2X15PXWCW,t,2,2,0,0,0.14
88,2531214,20241200000000.0,20/12/24,city scrape,6318533,10/05/13,within an hour,100.0,89%,t,5,t,t,Santo Stefano,44.49333,11.35161,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""Induction stove"", ""Wine glasses"", ""Bidet"", ""Heating - split type ductless system"", ""Smoke alarm"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Backyard"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Central heating"", ""Elevator"", ""AC - split type ductless system"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Hot water"", ""Shampoo"", ""Paid street parking off premises"", ""First aid kit"", ""Dishwasher"", ""Coffee maker: espresso machine, french press, Nespresso"", ""Baking sheet"", ""Fire extinguisher"", ""Cooking basics"", ""Bathtub"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Coffee"", ""Luggage dropoff allowed"", ""Kitchen""]",$211.00,2,40,22,52,76,82,512,31,1,29/03/14,23/11/24,4.95,4.95,4.88,4.91,4.97,4.98,4.87,IT037006B443RYLZGJ,t,3,3,0,0,3.92
