Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2,85368,20241200000000.0,20/12/24,city scrape,467675,28/03/11,within an hour,86.0,73%,t,1,t,t,Santo Stefano,44.47888,11.35625,Entire rental unit,Entire home/apt,5,2.0,2 baths,2.0,5.0,"[""Shampoo"", ""Hangers"", ""Essentials"", ""Kitchen"", ""Washer"", ""Host greets you"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Hair dryer"", ""Hot water"", ""Bed linens"", ""Iron""]",120.0,2,30,10,15,15,233,62,6,0,21/03/12,10/11/24,4.91,4.92,4.84,4.98,4.98,4.8,4.82,IT037006C2QKQSH3S7,f,1,1,0,0,0.4
3,219878,20241200000000.0,20/12/24,city scrape,1139326,10/09/11,within an hour,100.0,95%,t,2,t,t,Santo Stefano,44.48787,11.35392,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Zoppas refrigerator"", ""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Fast wifi \u2013 83 Mbps"", ""Window AC unit"", ""Microwave"", ""Books and reading material"", ""Outlet covers"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Ethernet connection"", ""Portable air conditioning"", ""EV charger"", ""Hangers"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Central heating"", ""Carbon monoxide alarm"", ""Elevator"", ""Shower gel"", ""Body soap"", ""Clothing storage: walk-in closet"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Garden view"", ""Essentials"", ""Freezer"", ""Coffee maker: espresso machine"", ""Host greets you"", ""Crib"", ""Conditioner"", ""City skyline view"", ""Cleaning products"", ""Shared patio or balcony"", ""Hot water"", ""Shampoo"", ""Coffee"", ""Paid street parking off premises"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Fire extinguisher"", ""Whirlpool stainless steel oven"", ""Cooking basics"", ""Whirlpool gas stove"", ""Bathtub"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",145.0,28,180,25,55,85,330,177,9,0,21/10/11,10/11/24,4.84,4.91,4.94,4.89,4.92,4.83,4.78,IT037006C2HQERHOGR,f,2,2,0,0,1.1
4,229114,20241200000000.0,20/12/24,city scrape,1196205,22/09/11,within an hour,100.0,100%,t,1,t,t,Navile,44.51072,11.34957,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,4.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Ariston stainless steel gas stove"", ""Smoke alarm"", ""32 inch HDTV with standard cable"", ""Microwave"", ""Free driveway parking on premises \u2013 1 space"", ""Books and reading material"", ""Outlet covers"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Courtyard view"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""AC - split type ductless system"", ""Keypad"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Board games"", ""Fast wifi \u2013 624 Mbps"", ""Free washer \u2013 In unit"", ""Garden view"", ""Private patio or balcony"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Freezer"", ""Coffee maker: espresso machine"", ""Heating"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""Self check-in"", ""Dishwasher"", ""Room-darkening shades"", ""Cooking basics"", ""Crib - available upon request"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Coffee"", ""Toaster"", ""Kitchen""]",132.0,3,60,21,51,81,339,86,13,0,22/10/12,03/11/24,4.84,4.91,4.92,4.95,4.95,4.51,4.74,IT037006C2KRRTWGRT,t,1,1,0,0,0.58
5,246747,20241200000000.0,20/12/24,city scrape,1294101,15/10/11,within an hour,100.0,100%,f,1,t,t,Porto - Saragozza,44.49884,11.34315,Private room in bed and breakfast,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Lock on bedroom door"", ""Paid parking off premises"", ""TV"", ""Hangers"", ""Bidet"", ""Exercise equipment"", ""Elevator"", ""Essentials"", ""Host greets you"", ""Heating"", ""Extra pillows and blankets"", ""Books and reading material"", ""Hair dryer"", ""Portable fans"", ""Wifi"", ""Hot water"", ""Iron""]",100.0,2,15,0,0,0,174,48,3,0,27/09/12,14/04/24,4.7,4.75,4.96,4.88,4.92,4.94,4.69,,f,1,0,1,0,0.32
9,411523,20241200000000.0,20/12/24,city scrape,2048622,01/04/12,within an hour,100.0,97%,t,3,t,t,Santo Stefano,44.4931,11.35442,Entire rental unit,Entire home/apt,4,2.0,2 baths,1.0,3.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Microwave"", ""Books and reading material"", ""Ceiling fan"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Hangers"", ""HDTV with standard cable"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Changing table - always at the listing"", ""Shower gel"", ""Fast wifi \u2013 453 Mbps"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""Paid parking garage off premises"", ""Dishwasher"", ""Baking sheet"", ""Fire extinguisher"", ""Cooking basics"", ""Whirlpool gas stove"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",174.0,2,28,27,57,86,280,139,8,0,04/07/13,12/10/24,4.88,4.92,4.95,4.95,4.98,4.9,4.9,IT037006C2VL6I3CIH,t,2,2,0,0,1.0
14,684271,20241200000000.0,20/12/24,city scrape,3488947,06/09/12,,,,f,1,t,f,Navile,44.51693,11.34565,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,4.0,"[""Shampoo"", ""TV"", ""Hangers"", ""Essentials"", ""Washer"", ""Air conditioning"", ""Heating"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Kitchen""]",120.0,2,300,0,0,0,141,4,0,0,05/10/15,11/11/18,4.5,4.25,4.25,4.25,3.75,4.25,4.0,,f,1,1,0,0,0.04
15,690226,20241200000000.0,20/12/24,city scrape,2048622,01/04/12,within an hour,100.0,97%,t,3,t,t,Santo Stefano,44.49007,11.35267,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,4.0,"[""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Paid valet parking on premises"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Central air conditioning"", ""Paid parking off premises"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Changing table - available upon request"", ""Drying rack for clothing"", ""Private entrance"", ""MIELE stainless steel single oven"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Heating"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Pack \u2019n play/Travel crib - available upon request"", ""Shampoo"", ""First aid kit"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Fire extinguisher"", ""Cooking basics"", ""Crib - available upon request"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Electrolux stainless steel gas stove"", ""Coffee"", ""Luggage dropoff allowed"", ""Kitchen""]",160.0,3,28,26,51,78,275,108,16,1,29/09/12,02/12/24,4.93,4.91,4.91,4.95,4.97,4.92,4.82,IT037006C2VJWVDVI8,f,2,2,0,0,0.73
16,724304,20241200000000.0,20/12/24,city scrape,3026417,23/07/12,within a few hours,100.0,98%,f,4,t,t,Santo Stefano,44.49383,11.35173,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Stove"", ""Hangers"", ""Outdoor dining area"", ""AC - split type ductless system"", ""Refrigerator"", ""Body soap"", ""Clothing storage: walk-in closet"", ""Dishes and silverware"", ""Coffee maker"", ""Outdoor furniture"", ""Pets allowed"", ""Free washer \u2013 In unit"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Heating"", ""City skyline view"", ""Cleaning products"", ""Shared patio or balcony"", ""Hot water"", ""Shampoo"", ""Baking sheet"", ""Cooking basics"", ""Bathtub"", ""Long term stays allowed"", ""Coffee"", ""Kitchen""]",110.0,3,730,22,27,57,213,75,3,0,05/02/13,04/11/24,4.48,4.54,4.47,4.47,4.45,4.87,4.37,IT037006C2M7CXWSAL,f,1,1,0,0,0.52
17,732525,20241200000000.0,20/12/24,city scrape,2879369,09/07/12,within an hour,100.0,55%,f,4,t,t,Porto - Saragozza,44.49228,11.31329,Private room in bed and breakfast,Private room,2,0.0,0 shared baths,1.0,1.0,"[""Lock on bedroom door"", ""TV"", ""Bidet"", ""Microwave"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Hangers"", ""Refrigerator"", ""Safe"", ""Breakfast"", ""Mosquito net"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Host greets you"", ""Heating"", ""Hot water"", ""Clothing storage: closet"", ""Room-darkening shades"", ""Bathtub"", ""Extra pillows and blankets"", ""Luggage dropoff allowed""]",122.0,1,30,1,31,61,280,18,1,0,30/03/13,26/09/24,5.0,4.94,5.0,5.0,5.0,4.56,4.94,IT037006C1AZJOO6IC,f,4,0,4,0,0.13
21,804596,20241200000000.0,20/12/24,city scrape,4235069,25/11/12,within an hour,100.0,100%,t,2,t,t,Porto - Saragozza,44.4988,11.33933,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Window AC unit"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Stainless steel gas stove"", ""Hangers"", ""Hot water kettle"", ""Central heating"", ""Shower gel"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Forno a microonde  stainless steel oven"", ""Outdoor furniture"", ""Pets allowed"", ""Drying rack for clothing"", ""Private entrance"", ""Vari body soap"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Hot water"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""HDTV with Chromecast, standard cable"", ""Extra pillows and blankets"", ""Coffee"", ""Toaster"", ""Kitchen""]",144.0,2,29,22,52,82,167,252,14,0,04/01/13,10/11/24,4.9,4.93,4.98,4.97,4.97,4.9,4.81,IT037006C26N837VRZ,f,2,2,0,0,1.73
22,840951,20241200000000.0,20/12/24,city scrape,4170880,17/11/12,within an hour,100.0,100%,t,1,t,t,Porto - Saragozza,44.49442,11.33176,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,3.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Smoke alarm"", ""Microwave"", ""Books and reading material"", ""Blender"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Central air conditioning"", ""Iron"", ""Paid parking off premises"", ""Hangers"", ""Hot water kettle"", ""35 inch HDTV"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Pets allowed"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Pocket wifi"", ""Private patio or balcony"", ""Essentials"", ""Host greets you"", ""Heating"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Clothing storage: closet"", ""Coffee"", ""First aid kit"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Long term stays allowed"", ""Cooking basics"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Electrolux stainless steel gas stove"", ""Portable fans"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",200.0,3,1125,13,13,13,203,148,12,1,29/01/13,04/12/24,4.75,4.78,4.68,4.82,4.9,4.81,4.7,IT037006C2EUZAFYGV,f,1,1,0,0,1.02
32,993645,20241200000000.0,20/12/24,city scrape,5458518,14/03/13,within an hour,100.0,98%,t,2,t,t,Porto - Saragozza,44.48874,11.31987,Private room in bed and breakfast,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Shampoo"", ""Pets allowed"", ""TV"", ""Hangers"", ""Breakfast"", ""Essentials"", ""Free parking on premises"", ""Indoor fireplace"", ""Extra pillows and blankets"", ""Heating"", ""Hair dryer"", ""Wifi"", ""Hot water"", ""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Bed linens"", ""Kitchen""]",180.0,1,365,17,47,74,207,164,28,1,23/07/13,25/11/24,4.93,4.91,4.96,4.94,4.92,4.87,4.84,IT037006C1WFZEASB6,f,2,0,2,0,1.18
