Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
4,229114,20241200000000.0,20/12/24,city scrape,1196205,22/09/11,within an hour,100.0,100%,t,1,t,t,Navile,44.51072,11.34957,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,4.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Ariston stainless steel gas stove"", ""Smoke alarm"", ""32 inch HDTV with standard cable"", ""Microwave"", ""Free driveway parking on premises \u2013 1 space"", ""Books and reading material"", ""Outlet covers"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Courtyard view"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""AC - split type ductless system"", ""Keypad"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Board games"", ""Fast wifi \u2013 624 Mbps"", ""Free washer \u2013 In unit"", ""Garden view"", ""Private patio or balcony"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Freezer"", ""Coffee maker: espresso machine"", ""Heating"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""Self check-in"", ""Dishwasher"", ""Room-darkening shades"", ""Cooking basics"", ""Crib - available upon request"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Coffee"", ""Toaster"", ""Kitchen""]",132.0,3,60,21,51,81,339,86,13,0,22/10/12,03/11/24,4.84,4.91,4.92,4.95,4.95,4.51,4.74,IT037006C2KRRTWGRT,t,1,1,0,0,0.58
7,374610,20241200000000.0,20/12/24,city scrape,1884566,08/03/12,within an hour,100.0,99%,f,4,t,t,Santo Stefano,44.48921,11.35713,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Microwave"", ""Bikes"", ""Single level home"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Ikea refrigerator"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Babysitter recommendations"", ""Coffee maker"", ""Dishes and silverware"", ""Window guards"", ""Pets allowed"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Garden view"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Freezer"", ""Heating"", ""Hot water"", ""Clothing storage: closet"", ""Paid street parking off premises"", ""Self check-in"", ""Room-darkening shades"", ""Generico shampoo"", ""Long term stays allowed"", ""Ikea stainless steel gas stove"", ""Cooking basics"", ""Lockbox"", ""26 inch HDTV"", ""Extra pillows and blankets"", ""Generico body soap"", ""Dedicated workspace"", ""Portable fans"", ""Fast wifi \u2013 703 Mbps"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",55.0,2,90,21,48,78,113,115,1,0,10/03/13,12/02/24,4.35,4.57,4.29,4.8,4.79,4.8,4.34,IT037006C2PTCUBVDK,t,4,4,0,0,0.8
8,383256,20241200000000.0,20/12/24,city scrape,1884566,08/03/12,within an hour,100.0,99%,f,4,t,t,Porto - Saragozza,44.49984,11.34307,Entire loft,Entire home/apt,5,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""32 inch HDTV with Chromecast"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Courtyard view"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Hot water kettle"", ""Central heating"", ""Babysitter recommendations"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Window guards"", ""Pets allowed"", ""Drying rack for clothing"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Hot water"", ""Clothing storage: closet"", ""First aid kit"", ""Paid parking garage off premises"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Self check-in"", ""Fire extinguisher"", ""Ikea stainless steel gas stove"", ""Cooking basics"", ""Lockbox"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Kitchen""]",52.0,2,90,20,50,80,115,226,30,1,06/04/12,23/11/24,4.59,4.7,4.64,4.84,4.74,4.86,4.55,IT037006C2UYW8RN2A,t,4,4,0,0,1.46
9,411523,20241200000000.0,20/12/24,city scrape,2048622,01/04/12,within an hour,100.0,97%,t,3,t,t,Santo Stefano,44.4931,11.35442,Entire rental unit,Entire home/apt,4,2.0,2 baths,1.0,3.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Microwave"", ""Books and reading material"", ""Ceiling fan"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Hangers"", ""HDTV with standard cable"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Changing table - always at the listing"", ""Shower gel"", ""Fast wifi \u2013 453 Mbps"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""Paid parking garage off premises"", ""Dishwasher"", ""Baking sheet"", ""Fire extinguisher"", ""Cooking basics"", ""Whirlpool gas stove"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",174.0,2,28,27,57,86,280,139,8,0,04/07/13,12/10/24,4.88,4.92,4.95,4.95,4.98,4.9,4.9,IT037006C2VL6I3CIH,t,2,2,0,0,1.0
10,570880,20241200000000.0,20/12/24,city scrape,123920,13/05/10,within a few hours,100.0,75%,f,4,t,t,Porto - Saragozza,44.49239,11.33567,Entire loft,Entire home/apt,6,2.0,2 baths,1.0,4.0,"[""Washer"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Iron"", ""Paid parking off premises"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Free street parking"", ""Refrigerator"", ""Coffee maker"", ""Smoking allowed"", ""Pets allowed"", ""Essentials"", ""HDTV"", ""Air conditioning"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Long term stays allowed"", ""Private hot tub"", ""Luggage dropoff allowed"", ""Kitchen""]",250.0,2,60,8,25,55,301,65,0,0,26/07/12,03/07/22,4.73,4.51,4.65,4.63,4.79,4.71,4.59,IT037006C2ISK7PTSC,t,1,1,0,0,0.43
18,742415,20241200000000.0,20/12/24,city scrape,3858191,13/10/12,within a few hours,100.0,100%,t,2,t,t,San Donato - San Vitale,44.50522,11.36354,Entire vacation home,Entire home/apt,9,2.0,2 baths,3.0,9.0,"[""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Smoke alarm"", ""32 inch HDTV with standard cable"", ""Cleaning available during stay"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Central heating"", ""Elevator"", ""AC - split type ductless system"", ""Free street parking"", ""Refrigerator"", ""Safe"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Paid parking garage on premises \u2013 1 space"", ""Free washer \u2013 In unit"", ""Garden view"", ""Exterior security cameras on property"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Free parking on premises"", ""Host greets you"", ""Theme room"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Paid street parking off premises"", ""Rice maker"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""Mini fridge"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Samsung stainless steel induction stove"", ""Luggage dropoff allowed"", ""Kitchen""]",280.0,2,179,28,58,79,231,46,5,1,07/04/14,25/11/24,4.67,4.78,4.83,4.87,4.85,4.48,4.59,IT037006C2HV3EKFPU,t,2,2,0,0,0.35
24,860436,20241200000000.0,20/12/24,previous scrape,4506590,27/12/12,within an hour,100.0,100%,f,2,t,t,Navile,44.50986099243164,11.349018096923828,Private room in bed and breakfast,Private room,3,,1 private bath,,,"[""Lock on bedroom door"", ""TV"", ""Smoke alarm"", ""Microwave"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Portable air conditioning"", ""Paid parking off premises"", ""Stove"", ""Hangers"", ""Central heating"", ""Refrigerator"", ""Coffee maker"", ""Breakfast"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Host greets you"", ""Hot water"", ""Shampoo"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Luggage dropoff allowed""]",,1,1125,26,56,85,168,46,1,0,10/05/13,09/04/24,4.58,4.68,4.8,4.89,4.8,4.6,4.35,IT037006B48EBY34UV,t,2,0,2,0,0.33
36,1027489,20241200000000.0,20/12/24,previous scrape,2845503,06/07/12,,,,f,2,t,t,San Donato - San Vitale,44.49243,11.36684,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""TV"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Shared backyard"", ""Smoke alarm"", ""Microwave"", ""Cleaning available during stay"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Gas stove"", ""Hangers"", ""Central heating"", ""Hammock"", ""Refrigerator"", ""Dishes and silverware"", ""Pets allowed"", ""Standalone high chair - available upon request"", ""Drying rack for clothing"", ""Private entrance"", ""Exterior security cameras on property"", ""Essentials"", ""Freezer"", ""Paid parking on premises"", ""Air conditioning"", ""Cleaning products"", ""Building staff"", ""Hot water"", ""Paid street parking off premises"", ""First aid kit"", ""Self check-in"", ""Baking sheet"", ""Fire extinguisher"", ""Cooking basics"", ""Crib - available upon request"", ""Luggage dropoff allowed"", ""Kitchen""]",,4,30,0,0,0,0,0,0,0,,,,,,,,,,,t,2,1,1,0,
42,1181594,20241200000000.0,20/12/24,city scrape,5936779,15/04/13,within an hour,100.0,100%,t,1,t,t,Porto - Saragozza,44.49849,11.34012,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Shampoo"", ""Dishes and silverware"", ""Hangers"", ""Dining table"", ""Essentials"", ""Kitchen"", ""Cooking basics"", ""Air conditioning"", ""Refrigerator"", ""Heating"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Portable fans"", ""Hot water"", ""Bed linens"", ""Iron""]",76.0,2,30,5,5,5,5,635,43,2,26/05/13,01/12/24,4.62,4.75,4.77,4.76,4.73,4.81,4.66,,t,1,1,0,0,4.51
48,1289329,20241200000000.0,20/12/24,previous scrape,7441756,12/07/13,within an hour,100.0,99%,f,18,t,t,Santo Stefano,44.493347,11.352334,Entire condo,Entire home/apt,2,,1.5 baths,1.0,,"[""Wine glasses"", ""Dining table"", ""Whirlpool stainless steel gas stove"", ""Laundromat nearby"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Coffee maker: Nespresso"", ""Courtyard view"", ""Hangers"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Radiant heating"", ""Dishes and silverware"", ""Pets allowed"", ""Drying rack for clothing"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Essentials"", ""Freezer"", ""Paid parking on premises"", ""Cleaning products"", ""Hot water"", ""Clothing storage: closet"", ""Coffee"", ""Paid street parking off premises"", ""Self check-in"", ""43 inch HDTV with standard cable"", ""Room-darkening shades"", ""Dishwasher"", ""Baking sheet"", ""Free dryer \u2013 In unit"", ""Cooking basics"", ""Lockbox"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Portable fans"", ""Kitchen""]",,2,1125,0,0,0,0,11,0,0,15/06/22,10/09/23,4.18,4.45,4.73,4.73,4.55,4.82,4.09,IT037006C2EQI5Z4X9,t,17,17,0,0,0.36
