Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,46352,20241200000000.0,20/12/24,city scrape,467810,28/03/11,within a day,75.0,47%,f,2,t,t,Porto - Saragozza,44.49163,11.33398,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Dining table"", ""Bidet"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Bed linens"", ""Hangers"", ""Hot water kettle"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Smoking allowed"", ""Pets allowed"", ""Exercise equipment: yoga mat"", ""Essentials"", ""Freezer"", ""Paid parking on premises"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Clothing storage: closet"", ""Extra pillows and blankets"", ""Coffee"", ""Luggage dropoff allowed""]",43.0,2,730,21,38,68,68,451,48,3,27/09/10,01/12/24,4.73,4.75,4.6,4.83,4.85,4.84,4.68,,f,2,0,2,0,2.6
1,59697,20241200000000.0,20/12/24,city scrape,286688,14/11/10,within a day,50.0,50%,f,2,t,t,Santo Stefano,44.48817,11.34124,Private room in condo,Private room,1,1.0,1 shared bath,1.0,2.0,"[""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Stove"", ""Hangers"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Essentials"", ""Freezer"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Baking sheet"", ""Cooking basics"", ""Bathtub"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Coffee"", ""Kitchen""]",50.0,31,1125,30,40,59,334,240,0,0,03/12/12,07/02/22,4.61,4.7,4.67,4.85,4.79,4.82,4.66,,f,2,0,2,0,1.64
5,246747,20241200000000.0,20/12/24,city scrape,1294101,15/10/11,within an hour,100.0,100%,f,1,t,t,Porto - Saragozza,44.49884,11.34315,Private room in bed and breakfast,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Lock on bedroom door"", ""Paid parking off premises"", ""TV"", ""Hangers"", ""Bidet"", ""Exercise equipment"", ""Elevator"", ""Essentials"", ""Host greets you"", ""Heating"", ""Extra pillows and blankets"", ""Books and reading material"", ""Hair dryer"", ""Portable fans"", ""Wifi"", ""Hot water"", ""Iron""]",100.0,2,15,0,0,0,174,48,3,0,27/09/12,14/04/24,4.7,4.75,4.96,4.88,4.92,4.94,4.69,,f,1,0,1,0,0.32
11,584370,20241200000000.0,20/12/24,city scrape,2879369,09/07/12,within an hour,100.0,55%,f,4,t,t,Porto - Saragozza,44.49084,11.31162,Private room in bed and breakfast,Private room,1,1.0,1 private bath,1.0,0.0,"[""Shampoo"", ""Dishes and silverware"", ""Smoking allowed"", ""Hangers"", ""Breakfast"", ""Elevator"", ""Essentials"", ""Microwave"", ""Cooking basics"", ""Air conditioning"", ""Refrigerator"", ""Coffee maker"", ""Heating"", ""Patio or balcony"", ""Host greets you"", ""Wifi"", ""Hair dryer"", ""Iron""]",83.0,1,30,1,31,61,121,25,4,0,13/03/13,25/09/24,4.96,4.92,4.92,4.96,5.0,4.72,4.8,IT037006C1AZJOO6IC,f,4,0,4,0,0.17
13,670725,20241200000000.0,20/12/24,city scrape,3398944,28/08/12,within an hour,100.0,25%,f,2,t,t,Savena,44.46969,11.37699,Private room in bed and breakfast,Private room,1,1.0,1 private bath,1.0,2.0,"[""TV"", ""Breakfast"", ""Elevator"", ""Heating"", ""Wifi""]",95.0,1,365,30,60,90,365,6,0,0,10/03/13,20/05/23,5.0,4.83,5.0,4.83,5.0,4.5,4.5,IT037006C1NJHJEAKO,f,2,0,2,0,0.04
17,732525,20241200000000.0,20/12/24,city scrape,2879369,09/07/12,within an hour,100.0,55%,f,4,t,t,Porto - Saragozza,44.49228,11.31329,Private room in bed and breakfast,Private room,2,0.0,0 shared baths,1.0,1.0,"[""Lock on bedroom door"", ""TV"", ""Bidet"", ""Microwave"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Hangers"", ""Refrigerator"", ""Safe"", ""Breakfast"", ""Mosquito net"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Host greets you"", ""Heating"", ""Hot water"", ""Clothing storage: closet"", ""Room-darkening shades"", ""Bathtub"", ""Extra pillows and blankets"", ""Luggage dropoff allowed""]",122.0,1,30,1,31,61,280,18,1,0,30/03/13,26/09/24,5.0,4.94,5.0,5.0,5.0,4.56,4.94,IT037006C1AZJOO6IC,f,4,0,4,0,0.13
24,860436,20241200000000.0,20/12/24,previous scrape,4506590,27/12/12,within an hour,100.0,100%,f,2,t,t,Navile,44.50986099243164,11.349018096923828,Private room in bed and breakfast,Private room,3,,1 private bath,,,"[""Lock on bedroom door"", ""TV"", ""Smoke alarm"", ""Microwave"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Portable air conditioning"", ""Paid parking off premises"", ""Stove"", ""Hangers"", ""Central heating"", ""Refrigerator"", ""Coffee maker"", ""Breakfast"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Host greets you"", ""Hot water"", ""Shampoo"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Luggage dropoff allowed""]",,1,1125,26,56,85,168,46,1,0,10/05/13,09/04/24,4.58,4.68,4.8,4.89,4.8,4.6,4.35,IT037006B48EBY34UV,t,2,0,2,0,0.33
28,953017,20241200000000.0,20/12/24,city scrape,374533,02/02/11,within a few hours,100.0,25%,f,1,t,t,Porto - Saragozza,44.48837,11.32102,Private room in vacation home,Private room,2,1.0,1 private bath,2.0,2.0,"[""Bidet"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Paid parking off premises"", ""Hangers"", ""Elevator"", ""Shower gel"", ""Indoor fireplace"", ""Body soap"", ""Coffee maker"", ""Breakfast"", ""Mosquito net"", ""Essentials"", ""Host greets you"", ""Conditioner"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Bathtub"", ""Extra pillows and blankets"", ""Portable fans""]",80.0,2,7,24,54,83,83,14,2,0,11/03/13,29/05/24,4.5,4.64,4.71,4.86,4.64,4.43,4.43,IT037006C1WTADJVPO,f,1,0,1,0,0.1
30,981083,20241200000000.0,20/12/24,previous scrape,3398944,28/08/12,within an hour,100.0,25%,f,2,t,t,Savena,44.46947,11.37668,Private room in bed and breakfast,Private room,2,,,1.0,,"[""Shampoo"", ""TV"", ""Breakfast"", ""Elevator"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Heating"", ""Dedicated workspace"", ""Wifi""]",,1,7,30,60,90,365,8,1,0,17/05/15,24/09/24,5.0,4.88,5.0,5.0,5.0,4.25,4.38,IT037006C1NJHJEAKO,f,2,0,2,0,0.07
31,981727,20241200000000.0,20/12/24,previous scrape,5234186,26/02/13,within a day,100.0,74%,t,9,t,t,Porto - Saragozza,44.49084,11.32876,Private room in villa,Private room,4,,1 private bath,,,"[""Lock on bedroom door"", ""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Heating - split type ductless system"", ""Sun loungers"", ""Microwave"", ""Cleaning available during stay"", ""Piano"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Stove"", ""Backyard"", ""Hangers"", ""Central heating"", ""Outdoor dining area"", ""AC - split type ductless system"", ""Shower gel"", ""Refrigerator"", ""Hammock"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Board games"", ""Breakfast"", ""Exterior security cameras on property"", ""Record player"", ""Essentials"", ""Freezer"", ""Paid washer \u2013 In building"", ""Paid parking lot on premises \u2013 2 spaces"", ""Hot water"", ""Sound system with aux"", ""Shampoo"", ""First aid kit"", ""Self check-in"", ""Dishwasher"", ""Room-darkening shades"", ""Ping pong table"", ""Fire extinguisher"", ""Cooking basics"", ""Lockbox"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",,1,1125,21,49,78,299,38,0,0,20/04/14,26/06/23,4.79,4.78,4.71,4.82,4.89,4.71,4.61,IT037006B4CPTDI69A,f,6,0,6,0,0.29
