Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2,85368,20241200000000.0,20/12/24,city scrape,467675,28/03/11,within an hour,86.0,73%,t,1,t,t,Santo Stefano,44.47888,11.35625,Entire rental unit,Entire home/apt,5,2.0,2 baths,2.0,5.0,"[""Shampoo"", ""Hangers"", ""Essentials"", ""Kitchen"", ""Washer"", ""Host greets you"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Hair dryer"", ""Hot water"", ""Bed linens"", ""Iron""]",120.0,2,30,10,15,15,233,62,6,0,21/03/12,10/11/24,4.91,4.92,4.84,4.98,4.98,4.8,4.82,IT037006C2QKQSH3S7,f,1,1,0,0,0.4
8,383256,20241200000000.0,20/12/24,city scrape,1884566,08/03/12,within an hour,100.0,99%,f,4,t,t,Porto - Saragozza,44.49984,11.34307,Entire loft,Entire home/apt,5,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""32 inch HDTV with Chromecast"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Courtyard view"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Hot water kettle"", ""Central heating"", ""Babysitter recommendations"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Window guards"", ""Pets allowed"", ""Drying rack for clothing"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Hot water"", ""Clothing storage: closet"", ""First aid kit"", ""Paid parking garage off premises"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Self check-in"", ""Fire extinguisher"", ""Ikea stainless steel gas stove"", ""Cooking basics"", ""Lockbox"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Kitchen""]",52.0,2,90,20,50,80,115,226,30,1,06/04/12,23/11/24,4.59,4.7,4.64,4.84,4.74,4.86,4.55,IT037006C2UYW8RN2A,t,4,4,0,0,1.46
10,570880,20241200000000.0,20/12/24,city scrape,123920,13/05/10,within a few hours,100.0,75%,f,4,t,t,Porto - Saragozza,44.49239,11.33567,Entire loft,Entire home/apt,6,2.0,2 baths,1.0,4.0,"[""Washer"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Iron"", ""Paid parking off premises"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Free street parking"", ""Refrigerator"", ""Coffee maker"", ""Smoking allowed"", ""Pets allowed"", ""Essentials"", ""HDTV"", ""Air conditioning"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Long term stays allowed"", ""Private hot tub"", ""Luggage dropoff allowed"", ""Kitchen""]",250.0,2,60,8,25,55,301,65,0,0,26/07/12,03/07/22,4.73,4.51,4.65,4.63,4.79,4.71,4.59,IT037006C2ISK7PTSC,t,1,1,0,0,0.43
18,742415,20241200000000.0,20/12/24,city scrape,3858191,13/10/12,within a few hours,100.0,100%,t,2,t,t,San Donato - San Vitale,44.50522,11.36354,Entire vacation home,Entire home/apt,9,2.0,2 baths,3.0,9.0,"[""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Smoke alarm"", ""32 inch HDTV with standard cable"", ""Cleaning available during stay"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Central heating"", ""Elevator"", ""AC - split type ductless system"", ""Free street parking"", ""Refrigerator"", ""Safe"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Paid parking garage on premises \u2013 1 space"", ""Free washer \u2013 In unit"", ""Garden view"", ""Exterior security cameras on property"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Free parking on premises"", ""Host greets you"", ""Theme room"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Paid street parking off premises"", ""Rice maker"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""Mini fridge"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Samsung stainless steel induction stove"", ""Luggage dropoff allowed"", ""Kitchen""]",280.0,2,179,28,58,79,231,46,5,1,07/04/14,25/11/24,4.67,4.78,4.83,4.87,4.85,4.48,4.59,IT037006C2HV3EKFPU,t,2,2,0,0,0.35
33,1002365,20241200000000.0,20/12/24,city scrape,5512231,18/03/13,within an hour,100.0,50%,f,2,t,t,Borgo Panigale - Reno,44.54373,11.24921,Entire rental unit,Entire home/apt,7,2.0,2 baths,2.0,6.0,"[""TV"", ""Dining table"", ""Bidet"", ""Microwave"", ""Washer"", ""Wifi \u2013 37 Mbps"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Backyard"", ""Hangers"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Barbecue utensils"", ""Outdoor dining area"", ""Keypad"", ""Hammock"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Outdoor furniture"", ""Smoking allowed"", ""Pets allowed"", ""Private entrance"", ""Garden view"", ""Mosquito net"", ""Essentials"", ""Freezer"", ""Coffee maker: espresso machine"", ""Air conditioning"", ""Patio or balcony"", ""Free parking on premises"", ""Heating"", ""Cleaning products"", ""BBQ grill"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Baking sheet"", ""Cooking basics"", ""High chair"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Coffee"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",110.0,3,365,30,60,90,357,35,3,0,14/05/13,04/11/24,4.77,4.71,4.83,4.74,4.91,4.63,4.6,IT037006C1ZV7AL3BX,f,2,2,0,0,0.25
34,1007486,20241200000000.0,20/12/24,city scrape,5512231,18/03/13,within an hour,100.0,50%,f,2,t,t,Borgo Panigale - Reno,44.54531,11.24846,Entire rental unit,Entire home/apt,5,1.0,1 bath,1.0,4.0,"[""TV"", ""Dining table"", ""Bidet"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Hangers"", ""Hot water kettle"", ""Barbecue utensils"", ""Outdoor dining area"", ""Hammock"", ""Refrigerator"", ""BBQ grill: charcoal"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Pets allowed"", ""Free washer \u2013 In unit"", ""Garden view"", ""Private patio or balcony"", ""Mosquito net"", ""Essentials"", ""Freezer"", ""Stainless steel oven"", ""Free parking on premises"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Coffee"", ""Kitchen""]",90.0,5,1125,30,60,90,357,3,0,0,17/04/13,19/03/22,4.33,5.0,4.67,4.67,4.67,4.67,4.67,IT037006C1ZV7AL3BX,f,2,2,0,0,0.02
37,1029853,20241200000000.0,20/12/24,city scrape,4259314,27/11/12,within a day,100.0,96%,f,1,t,f,Navile,44.519380008926845,11.341218516898037,Entire rental unit,Entire home/apt,6,1.0,1 bath,1.0,4.0,"[""Induction stove"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Smoke alarm"", ""Microwave"", ""Books and reading material"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Bed linens"", ""Iron"", ""Central air conditioning"", ""Hangers"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Not fully fenced"", ""Babysitter recommendations"", ""Shower gel"", ""Refrigerator"", ""Fast wifi \u2013 102 Mbps"", ""Perlier body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Board games"", ""Free washer \u2013 In unit"", ""Garden view"", ""Mosquito net"", ""Essentials"", ""Freezer"", ""Heating"", ""Cleaning products"", ""27 inch HDTV with standard cable"", ""Hot water"", ""Shampoo"", ""Coffee"", ""First aid kit"", ""Self check-in"", ""Cooking basics"", ""Crib - available upon request"", ""Lockbox"", ""Bathtub"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",80.0,4,100,17,47,77,77,238,26,1,04/04/13,25/11/24,4.81,4.86,4.81,4.91,4.91,4.52,4.76,,f,1,1,0,0,1.67
51,1408005,20241200000000.0,20/12/24,city scrape,7593939,19/07/13,within an hour,100.0,100%,f,1,t,t,Santo Stefano,44.49725,11.34464,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""Shampoo"", ""TV with standard cable"", ""First aid kit"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Air conditioning"", ""Heating"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Hot water"", ""Iron"", ""Kitchen""]",97.0,2,1125,2,25,45,251,464,60,0,05/08/13,02/11/24,4.79,4.77,4.87,4.96,4.96,4.96,4.77,,t,1,1,0,0,3.35
55,1491202,20241200000000.0,20/12/24,city scrape,7973070,06/08/13,within a day,69.0,42%,f,6,t,t,San Donato - San Vitale,44.49264,11.36851,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,5.0,"[""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Smoke alarm"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""EV charger"", ""Stove"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Exterior security cameras on property"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Crib"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Coffee maker: espresso machine, pour-over coffee"", ""Shampoo"", ""Paid street parking off premises"", ""Room-darkening shades"", ""Fire extinguisher"", ""Cooking basics"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Coffee"", ""Luggage dropoff allowed"", ""Kitchen""]",126.0,1,1125,30,60,90,365,32,1,0,26/09/14,21/04/24,4.88,4.84,4.97,4.88,4.81,4.56,4.41,,f,5,3,2,0,0.26
72,2273362,20241200000000.0,20/12/24,city scrape,11606565,24/01/14,within a few hours,100.0,100%,f,1,t,t,Santo Stefano,44.496986,11.349187,Entire rental unit,Entire home/apt,5,2.0,2 baths,1.0,3.0,"[""Sono a disposizione degli ospiti pi\u00f9 marche di balsami e shampoo conditioner"", ""Sound system"", ""Wine glasses"", ""Dining table"", ""Sono a disposizione degli ospiti numerose marche di shampoo shampoo"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Solo brand biologici body soap"", ""Microwave"", ""Books and reading material"", ""Ceiling fan"", ""Wifi"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Bed linens"", ""Iron"", ""Paid valet parking on premises \u2013 5 spaces"", ""Stainless steel gas stove"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""AC - split type ductless system"", ""Shower gel"", ""43 inch HDTV with Netflix"", ""Ferrari oven"", ""Radiant heating"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker, espresso machine, pour-over coffee"", ""Drying rack for clothing"", ""Board games"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Mosquito net"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Cleaning products"", ""Hot water"", ""Coffee"", ""First aid kit"", ""Dishwasher"", ""Room-darkening shades"", ""Rex refrigerator"", ""Baking sheet"", ""Fire extinguisher"", ""Cooking basics"", ""Bathtub"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Toaster"", ""Kitchen""]",204.0,28,90,2,2,21,254,25,3,0,05/10/14,05/10/24,4.92,4.88,4.96,4.96,4.96,4.84,4.92,,f,1,1,0,0,0.2
